Tiempo_s,GPS_X,GPS_Y,Distancia_m,Fuerza_G,Modo,Alerta_YOLO,Velocidad_kmh,TTC_s,Estado_Red,Latencia_Buffer_s
0.01,40.0,-44.27,4.21,-30.89,PATROL,NONE,0.0,42.11,OPTIMA,0.0
0.02,40.0,-44.27,4.21,-0.03,PATROL,NONE,0.0,42.11,OPTIMA,0.0
0.03,40.0,-44.27,4.21,0.03,PATROL,NONE,0.4,37.78,OPTIMA,0.0
0.04,40.0,-44.27,4.21,-0.02,PATROL,NONE,0.6,25.16,OPTIMA,0.0
0.05,40.0,-44.27,4.21,0.03,PATROL,NONE,0.8,18.86,OPTIMA,0.0
0.06,40.0,-44.27,4.21,0.0,PATROL,NONE,1.0,15.09,OPTIMA,0.0
0.07,40.0,-44.27,4.21,-0.13,PATROL,NONE,1.21,12.57,OPTIMA,0.0
0.08,40.0,-44.27,4.21,0.2,PATROL,NONE,1.41,10.78,OPTIMA,0.0
0.09,40.0,-44.27,4.21,-0.16,PATROL,NONE,1.61,9.43,OPTIMA,0.0
0.1,40.0,-44.27,4.21,0.04,PATROL,NONE,1.81,8.38,OPTIMA,0.0
0.11,40.0,-44.27,4.21,0.11,PATROL,NONE,2.01,7.54,OPTIMA,0.0
0.12,40.0,-44.27,4.21,-0.06,PATROL,NONE,2.21,6.85,OPTIMA,0.0
0.13,40.0,-44.27,4.21,-0.07,PATROL,NONE,2.41,6.28,OPTIMA,0.0
0.14,40.0,-44.27,4.21,-0.06,PATROL,NONE,2.61,5.8,OPTIMA,0.0
0.15,40.0,-44.27,4.21,0.12,PATROL,NONE,2.81,5.39,OPTIMA,0.0
0.16,40.0,-44.27,4.04,-0.06,PATROL,NONE,3.02,4.83,OPTIMA,0.0
0.17,40.0,-44.27,4.03,0.21,PATROL,NONE,3.22,4.51,OPTIMA,0.0
0.18,40.0,-44.27,4.02,-0.21,PATROL,NONE,3.42,4.23,OPTIMA,0.0
0.19,40.0,-44.27,4.01,0.11,PATROL,NONE,3.62,3.98,OPTIMA,0.0
0.2,40.0,-44.27,3.99,-0.08,PATROL,NONE,3.82,3.76,OPTIMA,0.0
0.21,40.0,-44.27,3.99,0.08,PATROL,NONE,4.02,3.57,OPTIMA,0.0
0.22,40.0,-44.27,4.23,-0.06,PATROL,NONE,4.22,3.6,OPTIMA,0.0
0.23,40.0,-44.27,4.23,-0.5,PATROL,NONE,4.42,3.44,OPTIMA,0.0
0.24,40.0,-44.28,4.22,0.59,PATROL,NONE,4.51,3.36,OPTIMA,0.0
